transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,description
T2449,U028,2022-04-16,Expense,Travel,9888.0,Bank Transfer,Delhi,Shopping,METRO CARD RECHARGE
T4357,U088,2024-07-03,Expense,Rent,7217.0,Cash,Delhi,Internet bill,MONTHLY RENT PAYMENT
T0815,U141,2021-10-05,Expense,Education,9725.0,Bank Transfer,Chennai,Restaurant dinner,COURSERA ONLINE COURSE
T7919,U086,2023-05-27,Expense,Entertainment,9648.0,Bank Transfer,Kolkata,,DISNEY+ SUBSCRIPTION
T5695,U061,2023-10-22,Expense,Travel,1643.0,Card,Mumbai,Petrol,TOLL PAYMENT #46434
T2471,U066,2021-12-23,Expense,Education,,Cash,Delhi,,UNACADEMY ONLINE COURSE
T3475,U046,2022-12-10,Income,Freelance,70075.0,UPI,Kolkata,Gym membership,UPWORK PAYOUT #93320
T5875,U081,2021-10-31,Expense,Food,864.0,Bank Transfer,Mumbai,Shopping,DOMINOS PIZZA ORDER
T10128,U104,2024-09-06,Expense,,6228.0,Cash,Hyderabad,,
T3491,U061,2024-04-10,Expense,Education,1206.0,Cash,Ahmedabad,Shopping,SCHOOL FEE PAYMENT
T2225,U028,2023-07-06,Expense,Education,8204.0,Card,,,UDEMY ONLINE COURSE
T6946,U068,2024-06-23,Expense,Education,5756.0,UPI,Hyderabad,,BOOKSTORE - CROSSWORD BOOKSTORE
T2022,U056,2021-12-20,Expense,Food,5576.0,Bank Transfer,Delhi,Medicine,GROCERY STORE - MORE SUPERMARKET
T13529,U123,2021-11-05,Expense,Health,9771.0,Bank Transfer,Pune,Petrol,FORTIS HOSPITAL PHARMACY
T12210,U118,2022-01-25,Expense,Rent,20509.0,Bank Transfer,Bangalore,Train ticket,LANDLORD PAYMENT REF 44993
T6904,U063,2024-09-13,Income,Bonus,62193.0,UPI,Chennai,Electricity bill,ANNUAL BONUS CREDIT
T0713,U055,2023-08-22,Expense,Utilities,3367.0,Bank Transfer,Ahmedabad,Monthly rent payment,ELECTRICITY BILL PAYMENT
T7323,U009,2024-05-13,Expense,Health,2721.0,UPI,Bangalore,EMI payment,MEDICAL LAB TEST #19358
T10231,U089,2023-02-13,Expense,Rent,2962.0,UPI,Ahmedabad,Books,RENTAL PAYMENT - UNIT 89840
T11570,U052,2022-09-23,Expense,Travel,8283.0,Card,Ahmedabad,,OLA CAB RIDE
T13926,U134,2024-09-16,Expense,Utilities,3520.0,Cash,Mumbai,,WATER BILL PAYMENT
T0884,U115,2024-04-07,Expense,Travel,5524.0,Bank Transfer,Hyderabad,Fixed deposit,SPICEJET AIRLINES BOOKING
T5033,U119,2021-12-18,Expense,Travel,999999.0,UPI,Pune,Lunch,PETROL PUMP - SPICEJET
T8492,U101,2024-11-14,Expense,Entertainment,1800.0,Bank Transfer,Ahmedabad,Internet bill,BOOKMYSHOW ORDER #31417
T4699,U090,2023-08-07,Income,Investment,32146.0,Cash,Delhi,ATM withdrawal,MUTUAL FUND SIP - UPSTOX
T1841,U097,2021-03-10,Income,Others,57173.0,Cash,,,MISCELLANEOUS EXPENSE
T3041,U018,2021-07-11,Expense,Rent,2966.0,Cash,Bangalore,EMI payment,MONTHLY RENT PAYMENT
T7693,U116,2024-08-31,Expense,Entertainment,1004.0,Bank Transfer,Kolkata,,INOX CINEMA TICKETS
T0071,U078,2024-04-26,Expense,Rent,6141.0,Cash,Pune,,RENT - APT 83000
T12197,U026,2022-04-18,Expense,Travel,9154.0,Card,Delhi,,UBER TRIP #38785
T8563,U080,2024-12-29,Expense,Travel,9705.0,Cash,,,OLA CAB RIDE
T6626,U049,2022-08-14,Expense,Food,2637.0,Cash,Jaipur,Fixed deposit,DOMINOS PIZZA ORDER
T7302,U102,2024-09-19,Expense,Food,1073.0,Card,Lucknow,,RELIANCE FRESH CAFE PAYMENT
T6588,U125,,Expense,Food,425.0,Bank Transfer,Jaipur,Petrol,ZOMATO DELIVERY #40021
T3552,U095,2024-01-21,Income,Bonus,34145.0,Bank Transfer,Hyderabad,,TCS BONUS PAYOUT
T1620,U040,2024-08-30,Expense,Utilities,527.0,Cash,Mumbai,,WATER BILL PAYMENT
T7912,U115,2022-06-15,Expense,Savings,5195.0,UPI,Lucknow,Grocery shopping,FIXED DEPOSIT #62581
T3571,U064,2024-10-05,Expense,Entertainment,3143.0,UPI,Chennai,Books,AMAZON PRIME VIDEO
T10957,U081,2023-08-06,Expense,Travel,2135.0,Cash,Lucknow,Medicine,BHARAT PETROLEUM AIRLINES BOOKING
T0294,U080,2024-12-25,Expense,Food,2163.0,UPI,Mumbai,Doctor consultation,GROCERY STORE - SPENCER'S
T9414,U149,2024-06-09,Expense,Rent,42078.0,UPI,Kolkata,,HOUSE RENT TRANSFER
T10537,U079,2023-08-01,Expense,Food,2778.0,UPI,Ahmedabad,,DOMINOS PIZZA ORDER
T1125,U105,2024-11-22,Expense,Health,3929.0,Card,,Shopping,GYM MEMBERSHIP - APOLLO PHARMACY
T8978,U103,2024-05-10,Income,Freelance,23852.0,Card,Lucknow,Coffee,FREELANCE PAYMENT - UPWORK
T5936,U022,2021-06-13,Expense,,6856.0,,Chennai,Shopping,
T3751,U103,2024-05-31,Income,Bonus,49639.0,,Hyderabad,Online course,ANNUAL BONUS CREDIT
T0626,U122,2024-08-19,Expense,Education,3150.0,Bank Transfer,Chennai,Coffee,CROSSWORD BOOKSTORE ONLINE COURSE
T9500,U090,2022-06-07,Expense,Health,9408.0,Cash,Hyderabad,Electricity bill,MEDICAL LAB TEST #94259
T1537,U056,2022-06-25,Expense,Entertainment,4114.0,UPI,Delhi,Fixed deposit,BOOKMYSHOW ORDER #70142
T9185,U117,2022-12-12,Income,Bonus,14249.0,Bank Transfer,Lucknow,,ANNUAL BONUS CREDIT
T7093,U096,2023-03-29,Expense,Travel,9681.0,UPI,Delhi,Online course,UBER TRIP #44718
T1990,U121,2022-03-29,Expense,Travel,3011.0,Card,Kolkata,Grocery shopping,OLA CAB RIDE
T4706,U150,2024-06-13,Expense,Health,3150.0,UPI,Jaipur,,APOLLO PHARMACY HOSPITAL BILL
T8416,U133,2023-05-05,Income,Bonus,32789.0,Cash,Bangalore,Lunch,TCS BONUS PAYOUT
T11932,U100,2023-02-10,Expense,Utilities,6704.0,UPI,Mumbai,Doctor consultation,WATER BILL PAYMENT
T4683,U062,2022-08-27,Expense,Travel,4427.0,Card,Chennai,Gym membership,SHELL AIRLINES BOOKING
T10528,U071,2021-11-27,Expense,Entertainment,3121.0,Bank Transfer,Pune,Grocery shopping,SPOTIFY PREMIUM
T10806,U149,2024-05-19,Expense,Food,3802.0,UPI,Jaipur,Petrol,DOMINOS PIZZA ORDER
T10505,U099,2021-03-06,Expense,Education,544.0,UPI,Ahmedabad,Lunch,COURSERA SUBSCRIPTION
T13682,U145,2023-03-09,Expense,Travel,9053.0,,Lucknow,,INDIGO AIRLINES BOOKING
T12807,U029,2021-06-05,Income,Freelance,32381.0,Bank Transfer,Chennai,,FREELANCE PAYMENT - TOPTAL
T6557,U007,2023-01-28,Expense,Travel,8305.0,UPI,Pune,,TOLL PAYMENT #38746
T0409,U137,2021-02-08,Expense,Utilities,8841.0,,Mumbai,,INTERNET BILL - AIRTEL BROADBAND FIBER
T10784,U022,2021-04-30,Income,Investment,46219.0,Card,Lucknow,,STOCK PURCHASE #76784
T2457,U054,2021-03-10,Expense,Travel,,Cash,Mumbai,,OLA CAB RIDE
T12395,U062,2021-04-10,Expense,Utilities,4451.0,Bank Transfer,Mumbai,,INTERNET BILL - JIO FIBER FIBER
T1882,U101,2022-09-25,Expense,Education,9358.0,Card,Mumbai,,COURSERA ONLINE COURSE
T13924,U035,2021-08-24,Expense,Rent,3569.0,Cash,Jaipur,Online course,RENT - APT 24371
T13453,U110,2024-11-05,Expense,Rent,2979.0,Cash,Hyd,Medicine,RENT - APT 30033
T9836,U058,2024-09-11,Expense,Travel,1863.0,Bank Transfer,Hyderabad,Lunch,METRO CARD RECHARGE
T13845,U066,2022-06-24,Expense,Rent,34984.0,UPI,Chennai,Petrol,LANDLORD PAYMENT REF 30969
T11381,U107,2024-05-12,Income,Investment,44031.0,Bank Transfer,Hyd,Online course,MUTUAL FUND SIP - UPSTOX
T5758,U049,2023-08-04,Expense,Rent,21771.0,UPI,Chennai,,LANDLORD PAYMENT REF 65333
T12059,U077,2021-12-11,Income,Salary,24920.0,UPI,Chennai,Online course,SALARY CREDIT - INFOSYS
T8889,U131,2021-01-07,Expense,Savings,8861.0,Bank Transfer,Pune,,SAVINGS ACCOUNT TRANSFER
T10327,U136,2022-05-25,Expense,Health,4201.0,Bank Transfer,Kolkata,Online course,MEDICAL LAB TEST #60432
T4967,U113,2022-02-17,Expense,Rent,47473.0,Bank Transfer,Hyderabad,Online course,MONTHLY RENT PAYMENT
T11849,U040,2021-12-06,Income,Investment,75822.0,Cash,Mumbai,Medicine,ZERODHA INVESTMENT
T5167,U014,2021-10-26,Expense,Food,677.0,Bank Transfer,Mumbai,Medicine,SWIGGY ORDER #71348
T3952,U120,2024-08-26,Expense,Rent,43252.0,Cash,Delhi,,RENT - APT 79352
T5844,U086,2021-04-24,Expense,Food,2615.0,Card,Lucknow,ATM withdrawal,STARBUCKS #42953
T13040,U009,2024-06-04,Expense,Food,2855.0,UPI,Bangalore,,DOMINOS PIZZA ORDER
T3167,U145,2021-11-28,Income,Bonus,57358.0,Cash,Delhi,,PERFORMANCE BONUS #11504
T8867,U105,2022-11-14,Expense,,6348.0,Card,Mumbai,Medicine,
T5926,U016,2024-07-13,Expense,Rent,4583.0,Bank Transfer,,Lunch,RENT - APT 99166
T13662,U129,2021-10-18,Expense,Misc,4952.0,Cash,Hyderabad,ATM withdrawal,GENERAL PAYMENT
T13593,U018,2024-03-11,Expense,Others,3941.0,Bank Transfer,Mumbai,Lunch,MISC PAYMENT #99353
T12216,U116,2023-04-21,Income,Others,47262.0,Bank Transfer,Kolkata,,ATM WITHDRAWAL
T8335,U001,2021-06-19,Expense,Entertainment,1998.0,UPI,Lucknow,Internet bill,INOX CINEMA TICKETS
T4933,U018,2021-03-17,Expense,Food,8124.0,,Pune,Coffee,SPENCER'S CAFE PAYMENT
T7036,U105,2021-01-12,Expense,Travel,1326.0,Card,,,IRCTC TICKET BOOKING
T9072,U066,2024-09-26,Expense,Savings,4328.0,UPI,Mumbai,Medicine,SAVINGS ACCOUNT TRANSFER
T8270,U081,2023-04-04,Expense,Food,276.0,Bank Transfer,Pune,Restaurant dinner,BIG BAZAAR SUPERMARKET
T12265,U094,2022-04-02,Expense,Utilities,4215.0,Card,Hyderabad,ATM withdrawal,MOBILE RECHARGE #66985
T4637,U005,2023-11-04,Expense,Utilities,6316.0,UPI,Pun,ATM withdrawal,ELECTRICITY BILL PAYMENT
T9022,U089,2024-03-10,Expense,Rent,21376.0,UPI,Chennai,,MONTHLY RENT PAYMENT
T7016,U145,2021-01-09,Expense,Utilities,7391.0,Cash,Hyderabad,Uber ride,ELECTRICITY BILL PAYMENT
T12109,U144,2023-05-31,Expense,Travel,2990.0,UPI,Mumbai,Train ticket,METRO CARD RECHARGE
T9952,U045,2022-12-24,Expense,Utilities,2230.0,,Delhi,ATM withdrawal,MOBILE RECHARGE #75612
T13401,U064,2021-09-17,Expense,Food,6197.0,UPI,,,NATURE'S BASKET PURCHASE
T11100,U142,2021-06-05,Expense,Food,6502.0,Card,Jaipur,Shopping,SWIGGY ORDER #76542
T4072,U067,2021-07-11,Expense,,6902.0,Card,Delhi,Petrol,
T8303,U091,2024-05-05,Expense,Food,,Bank Transfer,Kolkata,,SWIGGY ORDER #23947
T9115,U060,2022-04-21,Expense,Entertainment,9939.0,Bank Transfer,Pune,,NETFLIX SUBSCRIPTION
T2668,U126,2022-12-30,Expense,Rent,1518.0,Bank Transfer,Lucknow,Electricity bill,RENT - APT 49117
T1256,U035,2021-06-03,Expense,Travel,2985.0,Cash,Delhi,Restaurant dinner,TOLL PAYMENT #93748
T7219,U002,2024-06-28,Expense,Education,3150.0,Bank Transfer,Ahmedabad,,COURSERA TUITION FEE
T7845,U014,2024-12-27,Expense,Utilities,6671.0,UPI,Ahmedabad,Doctor consultation,MOBILE RECHARGE #89818
T4986,U124,2023-07-04,Expense,Travel,1409.0,UPI,Chennai,,UBER TRIP #36071
T1883,U047,2024-07-20,Expense,Education,2497.0,Bank Transfer,Kolkata,,UNACADEMY ONLINE COURSE
T7034,U108,2021-03-24,Expense,Utilities,6324.0,Card,Chennai,Gym membership,GAS BILL PAYMENT REF 59009
T11835,U125,2022-04-12,Expense,Education,7315.0,Bank Transfer,Jaipur,,CROSSWORD BOOKSTORE TUITION FEE
T0231,U031,2023-02-08,Expense,Utilities,7080.0,Bank Transfer,Kolkata,,WATER BILL PAYMENT
T2017,U090,2022-01-14,Expense,Utilities,7821.0,Cash,Pun,,JIO FIBER POWER CORP BILL
T9479,U114,2021-08-14,Expense,Rent,988.0,UPI,,Restaurant dinner,RENT - APT 10074
T1312,U070,2022-12-15,Income,Freelance,23504.0,Bank Transfer,Hyderabad,Electricity bill,UPWORK PAYOUT #88504
T0010,U017,2024-04-19,Expense,,1064.0,Cash,Ahmedabad,Books,
T11433,U083,2021-10-12,Expense,Food,2683.0,Cash,Delhi,,ZOMATO DELIVERY #52487
T4446,U017,2023-11-30,Expense,Food,5022.0,Cash,Hyderabad,Internet bill,DOMINOS PIZZA ORDER
T2782,U093,2021-04-01,Expense,Food,7849.0,,Pune,Petrol,SWIGGY ORDER #12552
T11291,U040,2024-06-10,Income,Bonus,33565.0,Cash,Hyderabad,Gym membership,PERFORMANCE BONUS #24662
T6224,U092,2024-11-04,Income,Salary,66678.0,Bank Transfer,Chennai,EMI payment,SALARY CREDIT - HCL
T4124,U119,2024-03-05,Expense,Education,6304.0,UPI,Pune,Fixed deposit,UDEMY COURSE PURCHASE
T10115,U091,2022-02-23,Income,Freelance,50009.0,Bank Transfer,Pune,,UPWORK PAYOUT #41385
T3531,U134,2021-08-07,Expense,Food,5811.0,Bank Transfer,Pune,,BIG BAZAAR RESTAURANT
T1066,U057,2023-02-05,Expense,Entertainment,7713.0,UPI,Pune,Monthly rent payment,SPOTIFY PREMIUM
T9037,U142,2022-12-19,Income,Salary,70693.0,Cash,Ahmedabad,,MONTHLY SALARY PAYMENT
T12498,U012,2024-03-20,Expense,Health,2603.0,Cash,Kolkata,Monthly rent payment,GYM MEMBERSHIP - CULT FIT
T6556,U037,2023-12-22,Expense,Food,314.0,Cash,Mumbai,Train ticket,GROCERY STORE - NATURE'S BASKET
T4233,U089,2024-10-30,Expense,Education,9806.0,Bank Transfer,Chennai,Petrol,BOOKSTORE - CROSSWORD BOOKSTORE
T1925,U060,2023-02-04,Expense,Food,3762.0,Bank Transfer,Hyd,,NATURE'S BASKET PURCHASE
T9678,U092,2021-03-15,Expense,Travel,9891.0,UPI,,Grocery shopping,MAKEMYTRIP HOTEL BOOKING
T3468,U143,2024-08-09,Expense,Health,6869.0,Card,Jaipur,,MEDPLUS PHARMACY
T2217,U113,2023-04-02,Expense,Rent,6756.0,Bank Transfer,Pun,,HOUSE RENT TRANSFER
T7901,U028,2021-09-07,Expense,Entertainment,356.0,Bank Transfer,Jaipur,,NETFLIX SUBSCRIPTION
T9324,U093,2021-10-03,Income,Others,20156.0,Cash,Pune,,GENERAL MART GENERAL STORE
T6515,U121,2024-03-16,Expense,Health,3790.0,Card,Ahmedabad,,CULT FIT HOSPITAL BILL
T3401,U071,2021-10-07,Expense,,6766.0,Card,Bangalore,Gym membership,
T2246,U061,2021-04-01,Expense,Food,3765.0,Bank Transfer,Chennai,Fixed deposit,MORE SUPERMARKET SUPERMARKET
T10375,U013,2023-08-06,Income,Freelance,,Bank Transfer,Delhi,Electricity bill,FREELANCE PAYMENT - TOPTAL
T7960,U028,2021-07-25,Expense,Entertainment,4638.0,Card,,,DISNEY+ SUBSCRIPTION
T13793,U141,2021-09-23,Income,Freelance,11650.0,Cash,Hyd,,CLIENT PAYMENT RECEIVED
T7316,U144,2024-02-22,Expense,Utilities,5790.0,,Pun,,WATER BILL PAYMENT
T4875,U076,2024-06-16,Expense,Rent,12435.0,UPI,Lucknow,,MONTHLY RENT PAYMENT
T1216,U042,2022-01-31,Income,Investment,31183.0,Bank Transfer,Jaipur,Shopping,ZERODHA INVESTMENT
T11898,U035,2023-04-13,Expense,Food,775.0,UPI,,Monthly rent payment,GROCERY STORE - BIG BAZAAR
T3071,U139,2021-11-03,Expense,Entertainment,8230.0,Bank Transfer,Lucknow,EMI payment,NETFLIX SUBSCRIPTION
T12468,U043,2024-12-14,Expense,Rent,5582.0,UPI,Ahmedabad,Monthly rent payment,RENT - APT 62296
T5511,U114,2024-04-20,Expense,Food,5918.0,Bank Transfer,Pune,,GROCERY STORE - RELIANCE FRESH
T5607,U093,2024-02-05,Income,Investment,73830.0,UPI,Pune,,ZERODHA INVESTMENT
T9770,U040,2021-02-21,Expense,Rent,23340.0,Card,Lucknow,Doctor consultation,RENTAL PAYMENT - UNIT 58944
T11278,U009,2022-07-19,Expense,Rent,40813.0,UPI,Delhi,Books,LANDLORD PAYMENT REF 67422
T10427,U077,2024-12-31,Expense,Utilities,3414.0,UPI,Pune,,MOBILE RECHARGE #77839
T1377,U044,2022-03-31,Expense,Food,2033.0,UPI,Mumbai,EMI payment,SWIGGY ORDER #69177
T2469,U038,2023-11-30,Income,Bonus,44932.0,Bank Transfer,Kolkata,Lunch,TCS BONUS PAYOUT
T6621,U104,2022-08-14,Expense,Food,999999.0,Cash,Jaipur,,BIG BAZAAR CAFE PAYMENT
T7679,U079,2024-05-03,Expense,Education,2274.0,Cash,Hyderabad,Grocery shopping,SCHOOL FEE PAYMENT
T8635,U039,2023-02-28,Expense,Travel,330.0,Bank Transfer,Chennai,,IRCTC TICKET BOOKING
T4874,U123,2024-12-30,Expense,Travel,8592.0,Cash,Pun,Lunch,IRCTC TICKET BOOKING
T3143,U025,2023-05-01,Expense,Rent,6779.0,Cash,Delhi,Monthly rent payment,HOUSE RENT TRANSFER
T13475,U033,2022-01-12,Income,Investment,29235.0,Bank Transfer,,,STOCK PURCHASE #87110
T8560,U023,2023-04-02,Expense,Health,2143.0,Card,Delhi,,MEDPLUS HOSPITAL BILL
T8417,U089,2022-05-17,Expense,Food,4945.0,Card,Ahmedabad,,BIG BAZAAR SUPERMARKET
T8379,U106,2021-10-16,Expense,Entertainment,8152.0,UPI,Delhi,Uber ride,CINEPOLIS CINEMA TICKETS
T13913,U006,2022-12-07,Expense,Others,7300.0,Bank Transfer,Pune,,MISCELLANEOUS EXPENSE
T11359,U135,2024-04-06,Expense,Food,4603.0,Bank Transfer,Ahmedabad,EMI payment,RELIANCE FRESH SUPERMARKET
T8916,U035,2022-10-13,Expense,Entertainment,4719.0,Card,Mumbai,Coffee,SPOTIFY PREMIUM
T5752,U112,2022-12-05,Expense,Rent,27792.0,Bank Transfer,Pun,Doctor consultation,MONTHLY RENT PAYMENT
T11316,U053,2022-06-10,Expense,Travel,6691.0,Card,Hyd,Doctor consultation,IRCTC TICKET BOOKING
T4377,U065,2022-04-05,Expense,Rent,5935.0,Bank Transfer,Hyd,Coffee,HOUSE RENT TRANSFER
T10191,U150,2024-02-26,Expense,Travel,9750.0,UPI,Mumbai,ATM withdrawal,TOLL PAYMENT #18834
T10267,U128,2021-10-19,Expense,Rent,6484.0,UPI,Jaipur,Fixed deposit,RENT - APT 14117
T10019,U029,2024-02-18,Expense,Entertainment,2398.0,Bank Transfer,Lucknow,Medicine,PVR CINEMA TICKETS
T1053,U081,2021-08-25,Expense,Food,498.0,Cash,Delhi,Coffee,SWIGGY ORDER #19287
T2960,U124,2022-09-05,Expense,Rent,35588.0,Cash,Jaipur,Grocery shopping,MONTHLY RENT PAYMENT
T5402,U053,2021-11-02,Income,Others,13131.0,Card,Lucknow,Fixed deposit,MISCELLANEOUS EXPENSE
T1989,U027,2024-06-08,Expense,Health,6321.0,Cash,Ahmedabad,ATM withdrawal,DOCTOR CONSULTATION FEE
T7284,U114,2023-08-30,Expense,Rent,28207.0,Bank Transfer,,Fixed deposit,HOUSE RENT TRANSFER
T11284,U125,2023-06-24,Expense,Travel,,Card,Chennai,Train ticket,MAKEMYTRIP HOTEL BOOKING
T1195,U102,2023-08-06,Expense,Rent,10749.0,Cash,Lucknow,Uber ride,RENT - APT 38080
T6008,U053,2023-05-21,Expense,Food,2232.0,,Pun,Books,RELIANCE FRESH PURCHASE
